180 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
1.0, 2.13E-91
1.1, 2.02E-70
1.2, 3.47E-55
1.3, 7.85E-44
1.4, 3.51E-35
1.5, 1.94E-28
1.6, 0
1.7, 9.04E-281
1.8, 4.40E-247
1.9, 7.85E-219
2.0, 3.60E-193
2.1, 5.48E-170
2.2, 2.20E-150
2.3, 1.09E-133
2.4, 2.30E-119
2.5, 5.31E-107
2.6, 2.86E-96
2.7, 6.70E-87
2.8, 1.10E-78
2.9, 1.92E-71
3.0, 6.79E-65
3.1, 5.81E-59
3.2, 1.09E-53
3.3, 5.50E-49
3.4, 8.93E-45
3.5, 5.40E-41
3.6, 1.38E-37
3.7, 1.65E-34
3.8, 1.02E-31
3.9, 3.47E-29
4.0, 7.55E-27
4.1, 1.09E-24
4.2, 1.02E-22
4.3, 6.49E-21
4.4, 2.93E-19
4.5, 9.73E-18
4.6, 2.45E-16
4.7, 4.80E-15
4.8, 7.50E-14
4.9, 9.56E-13
5.0, 1.03E-11
5.1, 9.56E-11
5.2, 7.56E-10
5.3, 5.18E-09
5.4, 3.11E-08
5.5, 1.66E-07
5.6, 7.92E-07
5.7, 3.42193E-06
5.8, 1.3469E-05
5.9, 4.86801E-05
6.0, 0.000164156
6.1, 0.000518855
6.2, 0.001530837
6.3, 0.004237945
6.4, 0.011060459
6.5, 0.027330596
6.6, 0.064193052
6.7, 0.143828742
6.8, 0.308426194
6.9, 0.634906764
7.0, 1.258345568
7.1, 2.407260092
7.2, 4.454524176
7.3, 46.04914883
7.4, 13.92457618
7.5, 23.61240023
7.6, 40.63957919
7.7, 62.99089072
7.8, 99.39569302
7.9, 159.4652768
8.0, 233.2168989
8.1, 348.5060631
8.2, 511.4458901
8.3, 66001.07691
8.4, 1047.510429
8.5, 1464.662649
8.6, 2018.716078
8.7, 5661.838937
8.8, 3684.521948
8.9, 4886.11079
9.0, 6407.283783
9.1, 8313.578038
9.2, 11055.79486
9.3, 13574.39201
9.4, 17099.37351
9.5, 79935.87389
9.6, 1163573.609
9.7, 33163.69068
9.8, 179322.5838
9.9, 924276.3339
10.0, 57533.63901
10.1, 123379.8508
10.2, 35627.41227
10.3, 31874.1405
10.4, 37387.93337
10.5, 43627.24783
10.6, 50688.08519
10.7, 58646.27527
10.8, 67532.08778
10.9, 103685.5457
11.0, 88372.1688
11.1, 101654.9928
11.2, 113806.3184
11.3, 1345493.584
11.4, 154065.2675
11.5, 267789.3792
11.6, 274187.3829
11.7, 138176.7897
11.8, 159060.2963
11.9, 169118.2041
12.0, 247355.7812
12.1, 175192.7439
12.2, 188912.9482
12.3, 206211.2153
12.4, 224606.7024
12.5, 244112.8355
12.6, 264758.4753
12.7, 286532.2431
12.8, 309454.181
12.9, 333542.3882
13.0, 358813.7738
13.1, 385282.0844
13.2, 412959.9261
13.3, 441858.5469
13.4, 471987.4913
13.5, 503355.0683
13.6, 535967.741
13.7, 569829.867
13.8, 604945.7707
13.9, 641317.4376
14.0, 679029.6106
14.1, 718096.5624
14.2, 758434.4479
14.3, 800043.0124
14.4, 842914.9708
14.5, 887041.3983
14.6, 932419.2359
14.7, 979040.0555
14.8, 1026894.072
14.9, 1075972.227
15.0, 1126179.74
15.1, 1177506.031
15.2, 1230020.483
15.3, 1283709.91
15.4, 1338559.016
15.5, 1394551.651
15.6, 1451672.14
15.7, 1509902.035
15.8, 1569223.838
15.9, 1629622.799
16.0, 1691078.297
16.1, 1753579.566
16.2, 1817099.262
16.3, 1881607.256
16.4, 1947092.432
16.5, 2013532.143
16.6, 2080904.404
16.7, 2149187.163
16.8, 2218357.681
16.9, 2288395.56
17.0, 2359275.246
17.1, 2430972.954
17.2, 2503464.854
17.3, 2576729.956
17.4, 2650742.611
17.5, 2725664.661
17.6, 2801493.053
17.7, 2878015.261
17.8, 2955207.44
17.9, 3033065.674
18.0, 3111540.104
18.1, 3190589.099
18.2, 3270204.728
18.3, 3350362.675
18.4, 3431043.09
18.5, 3512217.072
18.6, 3593858.965
18.7, 3675945.928
18.8, 3758455.757
18.9, 3841363.166
19.0, 3924643.953
19.1, 4008271.8
19.2, 4092217.679
19.3, 4176456.852
19.4, 4260972.509
19.5, 4345748.354
19.6, 4430757.722
19.7, 4516007.723
19.8, 4601436.803
19.9, 4687005.759
20.0, 4771473.905
20.1, 4854819.555
20.2, 4938269.593
20.3, 5021801.073
20.4, 5105390.704
20.5, 5189019.655
20.6, 5272669.887
20.7, 5356321.929
20.8, 5439960.034
20.9, 5523564.708
21.0, 5607100.457
21.1, 5690571.583
21.2, 5773954.427
21.3, 5857230.782
21.4, 5940392.502
21.5, 6023471.668
21.6, 6106377.417
21.7, 6189077.955
21.8, 6271590.958
21.9, 6353898.822
22.0, 6436138.567
22.1, 6518299.266
22.2, 6600210.713
22.3, 6681858.75
22.4, 6763230.042
22.5, 6844309.935
22.6, 6925084.495
22.7, 7005542.283
22.8, 7085668.437
22.9, 7165449.909
23.0, 7244881.979
23.1, 7323949.392
23.2, 7402649.794
23.3, 7481034.609
23.4, 7558979.976
23.5, 7636468.628
23.6, 7713528.473
23.7, 7790147.778
23.8, 7866337.251
23.9, 7942071.21
24.0, 8017331.714
24.1, 8092115.07
24.2, 8166411.991
24.3, 8240218.37
24.4, 8313524.123
24.5, 8386300.479
24.6, 8458569.65
24.7, 8530312.468
24.8, 8601529.875
24.9, 8672222.014
25.0, 8742566.506
25.1, 8812637.697
25.2, 8882091.258
25.3, 8950928.37
25.4, 9019193.043
25.5, 9086876.557
25.6, 9153975.294
25.7, 9220480.081
25.8, 9286398.564
25.9, 9351725.213
26.0, 9416471.437
26.1, 9480612.7
26.2, 9544126.111
26.3, 9607014.469
26.4, 9669282.203
26.5, 9730936.138
26.6, 9791968.646
26.7, 9852387.274
26.8, 9912205.031
26.9, 9971519.44
27.0, 10030120.55
27.1, 10088035.89
27.2, 10145306.34
27.3, 10201929.2
27.4, 10257904.26
27.5, 10313236.98
27.6, 10367938.48
27.7, 10421990.61
27.8, 10475396.56
27.9, 10528147.11
28.0, 10580215.66
28.1, 10631651.17
28.2, 10682442.36
28.3, 10732581.83
28.4, 10782072.1
28.5, 10830928.4
28.6, 10879151.99
28.7, 10926888.11
28.8, 10973864.61
28.9, 11020140.58
29.0, 11065765.75
29.1, 11110741.15
29.2, 11155092.41
29.3, 11198812.31
29.4, 11241885.1
29.5, 11284315.46
29.6, 11326110.65
29.7, 11367241.22
29.8, 11407723.73
29.9, 11447576.24
30.0, 11485170.23
30.1, 11520538.54
30.2, 11555334.53
30.3, 11589594.97
30.4, 11623298.32
30.5, 11656601.82
30.6, 11689207.45
30.7, 11721199.13
30.8, 11752626.28
30.9, 11783491.28
31.0, 11813803.78
31.1, 11843553.66
31.2, 11872744.05
31.3, 11901383.94
31.4, 11929475.85
31.5, 11956996.8
31.6, 11983987
31.7, 12010451.24
31.8, 12036381.71
31.9, 12061782.37
32.0, 12086660.29
32.1, 12111049.35
32.2, 12134956.28
32.3, 12158485.07
32.4, 12181381.71
32.5, 12203716.04
32.6, 12225529.22
32.7, 12246832.82
32.8, 12267651.99
32.9, 12287977.72
33.0, 12307807.9
33.1, 12327144.79
33.2, 12345972.35
33.3, 12364309.52
33.4, 12382170.66
33.5, 12399569.98
33.6, 12416498.68
33.7, 12432971.5
33.8, 12448985.09
33.9, 12464582.62
34.0, 12479765.76
34.1, 12494631.91
34.2, 12508921.85
34.3, 12522709.1
34.4, 12536046.14
34.5, 12548936.65
34.6, 12561415.92
34.7, 12573480.72
34.8, 12585111.05
34.9, 12596306.55
35.0, 12607078.51
35.1, 12617461.7
35.2, 12627450.9
35.3, 12637055.45
35.4, 12646259.36
35.5, 12655056.25
35.6, 12663468.9
35.7, 12671556.69
35.8, 12679292.42
35.9, 12686729.78
36.0, 12693673.97
36.1, 12700196.28
36.2, 12706341.92
36.3, 12712115.62
36.4, 12717515.02
36.5, 12722564.6
36.6, 12727259.38
36.7, 12731574.33
36.8, 12735549.52
36.9, 12739177.53
37.0, 12742461.98
37.1, 12745398.75
37.2, 12747997.63
37.3, 12750278.83
37.4, 12752249.94
