80 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
1.0, 1.36E-91
1.1, 1.48E-70
1.2, 2.88E-55
1.3, 7.33E-44
1.4, 3.65E-35
1.5, 2.21E-28
1.6, 0
1.7, 1.20E-280
1.8, 3.29E-247
1.9, 4.32E-219
2.0, 2.10E-193
2.1, 3.47E-170
2.2, 1.48E-150
2.3, 7.25E-134
2.4, 1.65E-119
2.5, 4.06E-107
2.6, 2.26E-96
2.7, 5.67E-87
2.8, 9.71E-79
2.9, 1.78E-71
3.0, 6.68E-65
3.1, 6.03E-59
3.2, 1.19E-53
3.3, 6.31E-49
3.4, 1.07E-44
3.5, 6.75E-41
3.6, 1.79E-37
3.7, 2.22E-34
3.8, 1.41E-31
3.9, 4.96E-29
4.0, 1.11E-26
4.1, 1.63E-24
4.2, 1.56E-22
4.3, 1.01E-20
4.4, 4.66E-19
4.5, 1.57E-17
4.6, 4.02E-16
4.7, 7.97E-15
4.8, 1.26E-13
4.9, 1.62E-12
5.0, 1.77E-11
5.1, 1.65E-10
5.2, 1.31E-09
5.3, 9.05E-09
5.4, 5.46E-08
5.5, 2.92E-07
5.6, 1.39898E-06
5.7, 6.05248E-06
5.8, 2.38502E-05
5.9, 8.62405E-05
6.0, 0.000290764
6.1, 0.000918302
6.2, 0.002705677
6.3, 0.007476112
6.4, 0.019463918
6.5, 0.047954903
6.6, 0.112252538
6.7, 0.250545484
6.8, 0.534987009
6.9, 1.096178443
7.0, 2.161604146
7.1, 4.112791407
7.2, 7.566731016
7.3, 63.48742098
7.4, 23.35699396
7.5, 39.33886124
7.6, 66.66240093
7.7, 103.4310456
7.8, 161.9592537
7.9, 255.8248722
8.0, 373.9125693
8.1, 554.0184815
8.2, 805.9645055
8.3, 82485.19399
8.4, 1621.087481
8.5, 2245.563862
8.6, 3065.709582
8.7, 7529.063147
8.8, 5487.079699
8.9, 7203.946221
9.0, 9350.582707
9.1, 12006.17139
9.2, 15676.82189
9.3, 19190.13951
9.4, 23913.38991
9.5, 91859.80769
9.6, 1251355.84
9.7, 44696.75789
9.8, 197336.2201
9.9, 1009410.52
10.0, 75266.98886
10.1, 146593.8191
10.2, 56904.71456
10.3, 53685.53137
10.4, 62719.80513
10.5, 72878.46903
10.6, 84292.35049
10.7, 97058.53519
10.8, 111209.8243
10.9, 159815.9287
11.0, 144011.3308
11.1, 164308.3087
11.2, 183383.8827
11.3, 1718910.452
11.4, 241848.5244
11.5, 386075.0843
11.6, 394483.2814
11.7, 230660.3808
11.8, 261984.663
11.9, 280101.6219
12.0, 382980.8954
12.1, 293849.5817
12.2, 316387.5293
12.3, 344222.311
12.4, 373638.0141
12.5, 404629.2786
12.6, 437214.5293
12.7, 471352.8864
12.8, 507043.6346
12.9, 544284.5925
13.0, 583071.3625
13.1, 623393.417
13.2, 665237.9131
13.3, 708588.6557
13.4, 753426.0325
13.5, 799731.5533
13.6, 847476.2656
13.7, 896630.741
13.8, 947165.5762
13.9, 999047.3342
14.0, 1052343.401
14.1, 1107033.021
14.2, 1162974.516
14.3, 1220131.503
14.4, 1278458.757
14.5, 1337907.81
14.6, 1398438.04
14.7, 1460000.604
14.8, 1522547.076
14.9, 1586030.984
15.0, 1650245.237
15.1, 1715144.643
15.2, 1780829.961
15.3, 1847239.83
15.4, 1914335.844
15.5, 1982063.69
15.6, 2050373.475
15.7, 2119221.323
15.8, 2188552.909
15.9, 2258335.367
16.0, 2328501.283
16.1, 2398993.614
16.2, 2469774.315
16.3, 2540795.818
16.4, 2612011.493
16.5, 2683373.77
16.6, 2754841.968
16.7, 2826386.577
16.8, 2897946.373
16.9, 2969464.939
17.0, 3040913.4
17.1, 3112244.442
17.2, 3183427.094
17.3, 3254428.076
17.4, 3325209.707
17.5, 3395895.709
17.6, 3466434.739
17.7, 3536634.98
17.8, 3606478.712
17.9, 3675920.823
18.0, 3744949.161
18.1, 3813532.974
18.2, 3881640.123
18.3, 3949269.305
18.4, 4016362.917
18.5, 4082879.018
18.6, 4148813.166
18.7, 4214135.52
18.8, 4278841.302
18.9, 4342901.371
19.0, 4406300.251
19.1, 4469052.922
19.2, 4531099.059
19.3, 4592405.087
19.4, 4652970.828
19.5, 4712783.719
19.6, 4771835.351
19.7, 4830119.037
19.8, 4887629.119
19.9, 4944392.374
20.0, 4998950.662
20.1, 5051300.716
20.2, 5102861.389
20.3, 5153629.681
20.4, 5203601.051
20.5, 5252772.223
20.6, 5301136.874
20.7, 5348750.802
20.8, 5395532.502
20.9, 5441463.659
21.0, 5486551.629
21.1, 5530825.189
21.2, 5574292.112
21.3, 5616935.779
21.4, 5658768.743
21.5, 5699836.796
21.6, 5740070.202
21.7, 5779443.195
21.8, 5817981.534
21.9, 5855711.047
22.0, 5892695.624
22.1, 5928942.129
22.2, 5964394.159
22.3, 5999106.517
22.4, 6032993.952
22.5, 6066041.558
22.6, 6098288.764
22.7, 6129747.528
22.8, 6160420.924
22.9, 6190323.233
23.0, 6219477.105
23.1, 6247962.535
23.2, 6275639.477
23.3, 6302497.047
23.4, 6328604.687
23.5, 6353976.025
23.6, 6378615.812
23.7, 6402526.084
23.8, 6425752.631
23.9, 6448349.729
24.0, 6470192.198
24.1, 6491261.167
24.2, 6511632.336
24.3, 6531311.479
24.4, 6550307.063
24.5, 6568653.213
24.6, 6586357.671
24.7, 6603498.562
24.8, 6619910.22
24.9, 6635600.238
25.0, 6650734.547
25.1, 6665293.81
25.2, 6679238.471
25.3, 6692574.123
25.4, 6705322.703
25.5, 6717588.425
25.6, 6729180.421
25.7, 6740119.682
25.8, 6750481.191
25.9, 6760275.857
