100 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
1.0, 1.36E-91
1.1, 1.43E-70
1.2, 2.70E-55
1.3, 6.71E-44
1.4, 3.28E-35
1.5, 1.96E-28
1.6, 0
1.7, 1.04E-280
1.8, 3.18E-247
1.9, 4.57E-219
2.0, 2.17E-193
2.1, 3.50E-170
2.2, 1.47E-150
2.3, 7.21E-134
2.4, 1.61E-119
2.5, 3.89E-107
2.6, 2.15E-96
2.7, 5.31E-87
2.8, 9.01E-79
2.9, 1.64E-71
3.0, 6.07E-65
3.1, 5.43E-59
3.2, 1.06E-53
3.3, 5.59E-49
3.4, 9.42E-45
3.5, 5.90E-41
3.6, 1.56E-37
3.7, 1.92E-34
3.8, 1.22E-31
3.9, 4.27E-29
4.0, 9.49E-27
4.1, 1.40E-24
4.2, 1.33E-22
4.3, 8.65E-21
4.4, 3.97E-19
4.5, 1.34E-17
4.6, 3.42E-16
4.7, 6.77E-15
4.8, 1.07E-13
4.9, 1.38E-12
5.0, 1.50E-11
5.1, 1.40E-10
5.2, 1.12E-09
5.3, 7.69E-09
5.4, 4.64E-08
5.5, 2.49E-07
5.6, 1.19243E-06
5.7, 5.16677E-06
5.8, 2.03946E-05
5.9, 7.38827E-05
6.0, 0.000249595
6.1, 0.000789975
6.2, 0.002332872
6.3, 0.006461429
6.4, 0.016864944
6.5, 0.041661418
6.6, 0.097788939
6.7, 0.21888525
6.8, 0.468764561
6.9, 0.963424867
7.0, 1.905734354
7.1, 3.637561641
7.2, 6.71445907
7.3, 59.57814768
7.4, 20.86654981
7.5, 35.26581947
7.6, 60.09424729
7.7, 93.37856751
7.8, 146.7455412
7.9, 233.0883026
8.0, 341.2804462
8.1, 507.562267
8.2, 741.171909
8.3, 81157.92492
8.4, 1502.155968
8.5, 2088.814073
8.6, 2862.678609
8.7, 7298.597236
8.8, 5163.47715
8.9, 6805.5128
9.0, 8868.023675
9.1, 11431.70341
9.2, 15016.68379
9.3, 18416.73796
9.4, 23039.87857
9.5, 93746.30199
9.6, 1303720.676
9.7, 43617.76389
9.8, 204440.9994
9.9, 1049028.291
10.0, 74225.59234
10.1, 148648.5749
10.2, 51324.3648
10.3, 47748.61195
10.4, 55909.5388
10.5, 65114.43491
