140 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
1.0, 1.65E-91
1.1, 1.62E-70
1.2, 2.88E-55
1.3, 6.78E-44
1.4, 3.16E-35
1.5, 1.81E-28
1.6, 0
1.7, 9.03E-281
1.8, 3.56E-247
1.9, 5.93E-219
2.0, 2.74E-193
2.1, 4.25E-170
2.2, 1.72E-150
2.3, 8.54E-134
2.4, 1.83E-119
2.5, 4.30E-107
2.6, 2.34E-96
2.7, 5.60E-87
2.8, 9.34E-79
2.9, 1.66E-71
3.0, 5.98E-65
3.1, 5.23E-59
3.2, 9.99E-54
3.3, 5.15E-49
3.4, 8.52E-45
3.5, 5.25E-41
3.6, 1.36E-37
3.7, 1.66E-34
3.8, 1.04E-31
3.9, 3.59E-29
4.0, 7.91E-27
4.1, 1.15E-24
4.2, 1.09E-22
4.3, 7.03E-21
4.4, 3.20E-19
4.5, 1.07E-17
4.6, 2.72E-16
4.7, 5.37E-15
4.8, 8.46E-14
4.9, 1.09E-12
5.0, 1.18E-11
5.1, 1.10E-10
5.2, 8.72E-10
5.3, 6.00E-09
5.4, 3.62E-08
5.5, 1.94E-07
5.6, 9.29E-07
5.7, 4.02247E-06
5.8, 1.58763E-05
5.9, 5.75229E-05
6.0, 0.000194407
6.1, 0.000615689
6.2, 0.001819712
6.3, 0.005045354
6.4, 0.013185052
6.5, 0.032616937
6.6, 0.076680811
6.7, 0.171938324
6.8, 0.368926121
6.9, 0.759794323
7.0, 1.506242231
7.1, 2.881846639
7.2, 5.333000608
7.3, 51.54252215
7.4, 16.6655246
7.5, 28.25061614
7.6, 48.45854452
7.7, 75.28510638
7.8, 118.7117718
7.9, 189.8170532
8.0, 278.0590897
8.1, 415.0899414
8.2, 608.4835238
8.3, 73449.76203
8.4, 1243.132984
8.5, 1735.77098
8.6, 2388.862195
8.7, 6443.410841
8.8, 4346.109547
8.9, 5753.450734
9.0, 7531.106873
9.1, 9753.202586
9.2, 12913.7668
9.3, 15860.95163
9.4, 19937.30019
9.5, 88168.66583
9.6, 1261357.687
9.7, 38362.4953
9.8, 195947.2473
9.9, 1008697.905
10.0, 66148.50118
10.1, 137998.8806
10.2, 41802.48652
10.3, 38068.16328
10.4, 44654.59222
10.5, 52103.94044
10.6, 60529.25806
10.7, 70018.56497
10.8, 80607.05265
10.9, 121121.3125
11.0, 105408.2687
11.1, 121085.3937
11.2, 135614.4353
11.3, 1488977.079
11.4, 182475.5228
11.5, 303411.1196
11.6, 309488.5249
11.7, 164793.3042
11.8, 189016.8723
11.9, 201669.5487
12.0, 288277.048
12.1, 208771.0258
12.2, 225111.818
12.3, 245736.8616
12.4, 267659.2322
12.5, 290891.3617
12.6, 315464.9981
12.7, 341363.1895
12.8, 368605.8411
12.9, 397209.8224
13.0, 427189.8875
13.1, 458559.1737
13.2, 491328.0164
13.3, 525504.3273
13.4, 561094.1148
13.5, 598101.8374
13.6, 636528.2482
13.7, 676374.1346
13.8, 717636.5289
13.9, 760313.5317
14.0, 804493.974
14.1, 850182.9802
14.2, 897280.5771
14.3, 945776.9506
14.4, 995658.8128
14.5, 1046911.22
14.6, 1099519.872
14.7, 1153466.762
14.8, 1208733.023
14.9, 1265297.123
15.0, 1323034.368
15.1, 1381925.697
15.2, 1442049.072
15.3, 1503384.48
15.4, 1565900.469
15.5, 1629566.191
15.6, 1694359.198
15.7, 1760253.316
15.8, 1827219.974
15.9, 1895227.81
16.0, 1964246.236
16.1, 2034245.66
16.2, 2105195.316
16.3, 2177060.895
16.4, 2249812.603
16.5, 2323419.268
16.6, 2397847.337
16.7, 2473079.13
16.8, 2549068.191
16.9, 2625768.891
17.0, 2703159.413
17.1, 2781205.1
17.2, 2859872.643
17.3, 2939127.178
17.4, 3018936.621
17.5, 3099466.253
17.6, 3180697.087
17.7, 3262398.22
17.8, 3344537.276
17.9, 3427084.778
18.0, 3510008.321
18.1, 3593292.534
18.2, 3676882.667
18.3, 3760728.122
18.4, 3844815.834
18.5, 3929119.191
18.6, 4013605.182
18.7, 4098239.564
18.8, 4182994.21
18.9, 4267842.748
19.0, 4352752.901
19.1, 4437697.261
19.2, 4522647.102
19.3, 4607579.746
19.4, 4692469.78
19.5, 4777318.238
19.6, 4862059.606
19.7, 4946647.007
19.8, 5031077.289
19.9, 5115328.04
20.0, 5197997.864
20.1, 5279079.295
20.2, 5359936.636
20.3, 5440541.176
20.4, 5520855.008
