200 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
29.1, 11241129.59
29.2, 11293381.07
29.3, 11345022.19
29.4, 11396060.59
29.5, 11446499.19
29.6, 11496332.21
29.7, 11545584.47
29.8, 11594248.85
29.9, 11642484.77
30.0, 11688331.69
30.1, 11731901.2
30.2, 11774902.17
30.3, 11817333.45
30.4, 11859195.76
30.5, 11900493.54
30.6, 11941242.87
30.7, 11981441.71
30.8, 12021084.34
30.9, 12060171.99
31.0, 12098698.46
31.1, 12136634.96
31.2, 12174027.44
31.3, 12210877.59
31.4, 12247173.88
31.5, 12282921.56
31.6, 12318125.84
31.7, 12352810.68
31.8, 12386978.58
31.9, 12420760.17
32.0, 12453874.28
32.1, 12486396.2
32.2, 12518380.5
32.3, 12549831.06
32.4, 12580762.07
32.5, 12611180.6
32.6, 12641073.37
32.7, 12670436.55
32.8, 12699278.69
32.9, 12727604.92
33.0, 12755394.88
33.1, 12782665.12
33.2, 12809425.22
33.3, 12835679.19
33.4, 12861425.18
33.5, 12886668.64
33.6, 12911431.39
33.7, 12935745.95
33.8, 12959600.67
33.9, 12983089.3
34.0, 13005975.23
34.1, 13028333.86
34.2, 13050209.8
34.3, 13071607.67
34.4, 13092534.49
34.5, 13112994.67
34.6, 13132984.02
34.7, 13152501.14
34.8, 13171560.59
34.9, 13190155.03
35.0, 13208298.29
35.1, 13226023.23
35.2, 13243308.23
35.3, 13260153.87
35.4, 13276555.34
35.5, 13292520.41
35.6, 13308058.1
35.7, 13323208.3
35.8, 13337980.07
35.9, 13352420.54
36.0, 13366341.86
36.1, 13379803.19
36.2, 13392833.16
36.3, 13405444.62
36.4, 13417656.88
36.5, 13429475.88
36.6, 13440893.11
36.7, 13451907.12
36.8, 13462529.04
36.9, 13472735.25
37.0, 13482550.27
37.1, 13491982.42
37.2, 13501043.06
37.3, 13509731.85
37.4, 13518048.16
37.5, 13526004.47
37.6, 13533616.4
37.7, 13540895.01
37.8, 13547883.68
37.9, 13554603.36
38.0, 13560855.71
38.1, 13566700.93
38.2, 13572189.67
38.3, 13577325.15
38.4, 13582131.59
38.5, 13586623.73
38.6, 13590783.95
38.7, 13594606.4
38.8, 13598086.35
38.9, 13601227.08
39.0, 13604058.14
39.1, 13606589.29
39.2, 13608822.94
39.3, 13610755.86
39.4, 13612372.9
39.5, 13613682.46
39.6, 13614732.82
39.7, 13615519.52
39.8, 13616067.72
39.9, 13616369.38
40.0, 13615384.33
40.1, 13613184.73
40.2, 13610721.35
40.3, 13608000.2
40.4, 13605019.34
40.5, 13601790.65
40.6, 13598324.89
40.7, 13594612.77
