120 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
1.0, 1.47E-91
1.1, 1.48E-70
1.2, 2.72E-55
1.3, 6.56E-44
1.4, 3.13E-35
1.5, 1.83E-28
1.6, 0
1.7, 9.42E-281
1.8, 3.29E-247
1.9, 5.14E-219
2.0, 2.40E-193
2.1, 3.78E-170
2.2, 1.56E-150
2.3, 7.68E-134
2.4, 1.68E-119
2.5, 3.99E-107
2.6, 2.19E-96
2.7, 5.31E-87
2.8, 8.92E-79
2.9, 1.60E-71
3.0, 5.86E-65
3.1, 5.18E-59
3.2, 1.00E-53
3.3, 5.22E-49
3.4, 8.72E-45
3.5, 5.42E-41
3.6, 1.42E-37
3.7, 1.74E-34
3.8, 1.09E-31
3.9, 3.82E-29
4.0, 8.46E-27
4.1, 1.24E-24
4.2, 1.18E-22
4.3, 7.62E-21
4.4, 3.49E-19
4.5, 1.17E-17
4.6, 2.98E-16
4.7, 5.91E-15
4.8, 9.33E-14
4.9, 1.20E-12
5.0, 1.31E-11
5.1, 1.22E-10
5.2, 9.70E-10
5.3, 6.69E-09
5.4, 4.04E-08
5.5, 2.16E-07
5.6, 1.0382E-06
5.7, 4.50002E-06
5.8, 1.77698E-05
5.9, 6.44032E-05
6.0, 0.000217677
6.1, 0.00068937
6.2, 0.00203726
6.3, 0.005647461
6.4, 0.014754638
6.5, 0.036487647
6.6, 0.085746445
6.7, 0.192177097
6.8, 0.412132944
6.9, 0.848267689
7.0, 1.68061791
7.1, 3.21329918
7.2, 5.941714583
7.3, 55.2972956
7.4, 18.53491797
7.5, 31.38840341
7.6, 53.69996343
7.7, 83.46513513
7.8, 131.4550353
7.9, 209.6346658
8.0, 307.1237459
8.1, 457.8525585
8.2, 670.2197983
8.3, 77576.32348
8.4, 1365.170293
8.5, 1903.178819
8.6, 2615.028483
8.7, 6885.62986
8.8, 4741.632909
8.9, 6266.092039
9.0, 8187.313239
9.1, 10583.31299
9.2, 13966.61162
9.3, 17145.4687
9.4, 21510.29295
9.5, 91980.02938
9.6, 1298534.602
9.7, 41111.05273
9.8, 202840.1947
9.9, 1040651.817
10.0, 70502.48324
10.1, 144513.0381
10.2, 46086.52294
10.3, 42331.8199
10.4, 49628.01982
10.5, 57872.82832
10.6, 67188.23554
10.7, 77668.40382
10.8, 89348.2631
10.9, 132664.7925
11.0, 116654.4957
11.1, 133825.0221
11.2, 149822.856
11.3, 1577778.101
11.4, 200693.1578
11.5, 328724.5305
11.6, 335291.5112
11.7, 182981.8117
11.8, 209432.0097
11.9, 223678.4546
12.0, 316204.2684
12.1, 231930.5904
12.2, 250027.231
12.3, 272809.1528
12.4, 297000.7852
12.5, 322612.1343
12.6, 349675.3099
12.7, 378167.935
12.8, 408106.9269
12.9, 439506.7517
13.0, 472380.1804
13.1, 506737.0643
13.2, 542581.7609
13.3, 579918.602
13.4, 618749.2436
13.5, 659073.8875
13.6, 700888.0713
13.7, 744185.2832
13.8, 788957.5831
13.9, 835194.7168
14.0, 882987.4656
14.1, 932338.9649
14.2, 983131.5081
14.3, 1035351.257
14.4, 1088975.63
14.5, 1143979.145
14.6, 1200340.451
14.7, 1258034.118
14.8, 1317032.53
14.9, 1377308.208
15.0, 1438714.914
15.1, 1501222.888
15.2, 1564915.646
15.3, 1629761.723
15.4, 1695729.674
15.5, 1762789.584
15.6, 1830900.621
15.7, 1900018.278
15.8, 1970114.062
15.9, 2041152.608
16.0, 2113094.548
16.1, 2185901.631
16.2, 2259538.723
16.3, 2333966.337
16.4, 2409146.236
16.5, 2485039.63
16.6, 2561608.974
16.7, 2638827.003
16.8, 2716640.759
16.9, 2794998.6
17.0, 2873872.327
17.1, 2953223.949
17.2, 3033018.07
17.3, 3113219.748
17.4, 3193791.626
17.5, 3274877.221
17.6, 3356458.185
17.7, 3438304.458
17.8, 3520384.286
17.9, 3602679.465
18.0, 3685133.476
18.1, 3767691.911
18.2, 3850338.01
18.3, 3933039.27
18.4, 4015768.267
18.5, 4098491.081
18.6, 4181170.604
18.7, 4263771.279
18.8, 4346272.339
18.9, 4428639.409
19.0, 4510848.761
19.1, 4592897.087
19.2, 4674723.997
19.3, 4756278.124
19.4, 4837557.058
19.5, 4918545.819
19.6, 4999207.321
19.7, 5079517.417
19.8, 5159448.795
19.9, 5238981.607
20.0, 5316672.663
20.1, 5392511.941
20.2, 5467928.031
20.3, 5542929.546
20.4, 5617440.328
20.5, 5691427.041
20.6, 5764898.617
20.7, 5837842.833
20.8, 5910238.636
20.9, 5982078.185
21.0, 6053329.297
21.1, 6124003.758
21.2, 6194085.75
21.3, 6263552.111
21.4, 6332406.647
21.5, 6400683.09
21.6, 6468295.662
21.7, 6535212.816
21.8, 6601461.421
21.9, 6667044.412
22.0, 6732056.151
22.1, 6796487.102
22.2, 6860203.59
22.3, 6923215.374
22.4, 6985519.5
22.5, 7047109.21
22.6, 7107992.074
22.7, 7168221.359
22.8, 7227673.721
22.9, 7286332.702
23.0, 7344236.322
23.1, 7401409.563
23.2, 7457824.681
23.3, 7513462.218
23.4, 7568335.106
23.5, 7622455.075
23.6, 7675813.71
23.7, 7728399.426
23.8, 7780268.595
23.9, 7831450.555
24.0, 7881806.403
24.1, 7931345.399
24.2, 7980110.623
24.3, 8028100.588
24.4, 8075316.274
24.5, 8121745.634
24.6, 8167409.976
24.7, 8212303.813
24.8, 8256426.313
24.9, 8299791.951
25.0, 8342546.684
25.1, 8384752.147
25.2, 8426131.281
25.3, 8466703.398
25.4, 8506511.751
25.5, 8545568.046
25.6, 8583863.607
25.7, 8621388.326
25.8, 8658183.053
25.9, 8694245.964
26.0, 8729586.783
26.1, 8764197.974
26.2, 8798096.975
26.3, 8831381.041
26.4, 8863863.748
26.5, 8895589.098
26.6, 8926609.829
26.7, 8956936.383
26.8, 8986529.142
26.9, 9015416.453
27.0, 9043620.226
27.1, 9071146.785
27.2, 9097987.735
27.3, 9124168.156
27.4, 9149711.984
27.5, 9174722.637
27.6, 9198983.239
27.7, 9222539.018
27.8, 9245449.301
27.9, 9267709.09
28.0, 9289291.547
28.1, 9310261.415
28.2, 9330622.341
28.3, 9350368.7
28.4, 9369502.17
28.5, 9388045.92
28.6, 9406016.07
28.7, 9423540.446
28.8, 9440362.263
28.9, 9456561.235
29.0, 9472178.991
29.1, 9487207.414
29.2, 9501668.531
29.3, 9515570.799
29.4, 9528929.452
29.5, 9541753.668
29.6, 9554050.374
29.7, 9565832.767
29.8, 9577108.022
29.9, 9588033.089
30.0, 9596924.645
30.1, 9603906.375
30.2, 9610431.907
30.3, 9616497.605
30.4, 9622117.499
30.5, 9627303.063
30.6, 9632062.256
30.7, 9636406.475
30.8, 9640325.524
30.9, 9643845.395
31.0, 9646986.444
31.1, 9649876.452
31.2, 9652240.448
31.3, 9654164.81
31.4, 9655699.392
31.5, 9656811.49
31.6, 9657544.426
31.7, 9657925.954
31.8, 9657944.097
31.9, 9657599.512
32.0, 9656896.785
32.1, 9655874.418
32.2, 9654527.996
32.3, 9652963.306
32.4, 9650952.769
32.5, 9648564.797
32.6, 9645819.263
32.7, 9642745.514
32.8, 9639374.079
32.9, 9635686.917
33.0, 9631692.43
33.1, 9627387.917
33.2, 9622797.75
33.3, 9617936.632
33.4, 9612805.985
33.5, 9607511.835
33.6, 9601834.291
33.7, 9595852.151
33.8, 9589557.282
33.9, 9583002.789
34.0, 9576182.065
34.1, 9569107.807
34.2, 9561776.372
34.3, 9554193.005
34.4, 9546363.413
34.5, 9538329.656
34.6, 9530117.72
34.7, 9521772.121
34.8, 9513082.385
34.9, 9504113.746
35.0, 9494911.433
35.1, 9485501.852
35.2, 9475873.728
35.3, 9466049.743
35.4, 9456010.974
35.5, 9445763.397
35.6, 9435318.746
35.7, 9424739.434
35.8, 9414006.236
35.9, 9403156.516
36.0, 9392022.331
36.1, 9380647.26
36.2, 9369085.267
36.3, 9357340.593
36.4, 9345415.228
36.5, 9333310.387
36.6, 9321039.862
36.7, 9308610.004
36.8, 9296039.303
36.9, 9283328.973
37.0, 9270525.29
37.1, 9257628.708
37.2, 9244476.157
37.3, 9231098.814
37.4, 9217579.29
37.5, 9203933.614
37.6, 9190138.224
37.7, 9176193.751
37.8, 9162138.536
37.9, 9147967.891
38.0, 9133677.931
38.1, 9119274.02
38.2, 9104795.189
38.3, 9090257.425
38.4, 9075504.267
38.5, 9060577.672
38.6, 9045532.988
38.7, 9030391.253
38.8, 9015137.449
38.9, 8999791.655
39.0, 8984352.646
39.1, 8968821.892
39.2, 8953202.086
39.3, 8937493.681
39.4, 8921748.894
39.5, 8905965.95
39.6, 8889990.259
39.7, 8873881.795
39.8, 8857691.387
39.9, 8841424.064
40.0, 8824496.63
40.1, 8806910.367
40.2, 8789261.077
40.3, 8771567.027
40.4, 8753854.289
40.5, 8736095.247
40.6, 8718351.348
40.7, 8700586.805
40.8, 8682667.295
40.9, 8664665.069
41.0, 8646614.879
41.1, 8628528.737
41.2, 8610412.817
41.3, 8592262.656
41.4, 8574081.416
41.5, 8555860.612
41.6, 8537620.67
41.7, 8519347.671
41.8, 8501129.026
41.9, 8482891.299
42.0, 8464514.692
42.1, 8446073.762
42.2, 8427613.645
42.3, 8409140.843
42.4, 8390637.974
42.5, 8372106.429
42.6, 8353547.631
42.7, 8334970.153
42.8, 8316370.358
42.9, 8297760.759
43.0, 8279226.953
43.1, 8260653.464
43.2, 8241988.09
43.3, 8223280.202
43.4, 8204548.815
43.5, 8185796.008
43.6, 8167027.081
43.7, 8148255.825
43.8, 8129481.695
43.9, 8110700.977
44.0, 8091894.399
44.1, 8073076.75
44.2, 8054368.668
44.3, 8035639.446
44.4, 8016827.763
44.5, 7997966.216
44.6, 7979101.841
44.7, 7960243.91
44.8, 7941380.743
44.9, 7922524.517
45.0, 7903661.575
45.1, 7884792.918
45.2, 7865909.563
45.3, 7847031.425
45.4, 7828274.482
45.5, 7809510.107
45.6, 7790680.827
45.7, 7771805.656
45.8, 7752929.74
45.9, 7734064.484
46.0, 7715212.269
46.1, 7696381.313
46.2, 7677567.3
46.3, 7658757.426
46.4, 7639925.111
46.5, 7621116.828
46.6, 7602413.447
46.7, 7583724.14
46.8, 7564971.557
46.9, 7546190.768
47.0, 7527430.547
47.1, 7508702.452
47.2, 7489983.179
47.3, 7471273.284
47.4, 7452576.02
47.5, 7433890.016
47.6, 7415218.102
47.7, 7396550.806
47.8, 7378019.313
47.9, 7359502.281
48.0, 7340937.76
48.1, 7322348.245
48.2, 7303776.812
48.3, 7285225.618
48.4, 7266693.978
48.5, 7248177.784
48.6, 7229691.504
48.7, 7211214.981
48.8, 7192733.999
48.9, 7174241.322
49.0, 7155937.128
49.1, 7137638.922
49.2, 7119298.411
49.3, 7100923.396
49.4, 7082566.967
49.5, 7064235.177
49.6, 7045934.085
49.7, 7027668.453
49.8, 7009432.211
49.9, 6991191.372
50.0, 6972739.383
50.1, 6954024.437
50.2, 6935530.619
50.3, 6917050.992
50.4, 6898537.885
50.5, 6880011.439
50.6, 6861514.456
50.7, 6843049.993
50.8, 6824634.189
50.9, 6806256.999
51.0, 6787917.312
51.1, 6769585.476
51.2, 6751252.023
51.3, 6732937.343
51.4, 6714827.816
51.5, 6696739.661
51.6, 6678614.22
51.7, 6660473.538
51.8, 6642366.199
51.9, 6624313.088
52.0, 6606292.61
52.1, 6588311.895
52.2, 6570380.677
52.3, 6552451.442
52.4, 6534506.48
52.5, 6516605.882
52.6, 6498889.616
52.7, 6481191.718
52.8, 6463459.031
52.9, 6445729.476
53.0, 6428048.928
53.1, 6410413.992
53.2, 6392815.259
53.3, 6375257.869
53.4, 6357740.006
53.5, 6340218.491
53.6, 6322669.995
53.7, 6305195.431
53.8, 6287896.155
53.9, 6270623.768
54.0, 6253325.041
54.1, 6236041.91
54.2, 6218796.695
54.3, 6201585.755
54.4, 6184413.29
54.5, 6167277.994
54.6, 6150184.573
54.7, 6133060.54
54.8, 6115949.523
54.9, 6098926.775
55.0, 6082054.437
55.1, 6065215.034
55.2, 6048342.223
55.3, 6031472.474
55.4, 6014642.566
55.5, 5997865.963
55.6, 5981127.529
55.7, 5964427.407
55.8, 5947762.383
55.9, 5931047.927
56.0, 5914361.083
56.1, 5897770.1
56.2, 5881331.122
56.3, 5864926.027
56.4, 5848486.199
56.5, 5832052.516
56.6, 5815655.522
56.7, 5799303.456
56.8, 5782992.433
56.9, 5766719.07
57.0, 5750465.429
57.1, 5734166.303
57.2, 5717914.74
57.3, 5701765.56
57.4, 5685735.815
57.5, 5669738.072
57.6, 5653710.555
57.7, 5637704.976
57.8, 5621742.371
57.9, 106464483.4
58.0, 5589928.713
58.1, 5574081.713
58.2, 5558229.516
58.3, 5542363.868
58.4, 5526546.712
58.5, 5510838.816
58.6, 5495247.005
58.7, 5479688.187
58.8, 5464101.811
58.9, 5448537.153
59.0, 5433007.935
59.1, 5417517.412
59.2, 5402065.574
59.3, 184190546.9
59.4, 5371212.137
59.5, 5355793.476
59.6, 5340418.979
59.7, 5325157.605
59.8, 5309994.031
59.9, 5294864.492
60.0, 5279612.913
60.1, 5264295.919
60.2, 5249018.322
60.3, 5233780.623
60.4, 5218581.078
60.5, 5203417.714
60.6, 5188225.716
60.7, 5173057.548
60.8, 5157934.064
60.9, 5142927.751
61.0, 5128005.141
61.1, 5113123.076
61.2, 5098210.977
61.3, 5083325.945
61.4, 5068484.291
61.5, 5053684.186
61.6, 5038924.933
61.7, 5024175.253
61.8, 5009406.94
61.9, 4994668.807
