160 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
29.0, 10781669.81
29.1, 10817430.08
29.2, 10852549.91
29.3, 10887020.79
29.4, 10920841.23
29.5, 10954000.58
29.6, 10986507.67
29.7, 11018383
29.8, 11049643.33
29.9, 11080277.49
30.0, 11108705.2
30.1, 11134987.61
30.2, 11160729.19
30.3, 11186095.74
30.4, 11210763.96
30.5, 11234818.12
30.6, 11258312.99
30.7, 11281261.04
30.8, 11303686.34
30.9, 11325572.37
31.0, 11346914.65
31.1, 11367695.76
31.2, 11387952.19
31.3, 11407697.57
31.4, 11426945.64
31.5, 11445675.36
31.6, 11463893.02
31.7, 11481658.08
31.8, 11498953.16
31.9, 11515888.5
32.0, 11532198.08
32.1, 11547967.5
32.2, 11563250.14
32.3, 11578048.04
32.4, 11592364.12
32.5, 11606209.29
32.6, 11619564.03
32.7, 11632460.26
32.8, 11644897.5
32.9, 11656880.04
33.0, 11668405.64
33.1, 11679489.6
33.2, 11690144.55
33.3, 11700399.02
33.4, 11710247.41
33.5, 11719775.05
33.6, 11728762.13
33.7, 11737282.79
33.8, 11745376.35
33.9, 11753051.18
34.0, 11760324.19
34.1, 11767199.53
34.2, 11773639.46
34.3, 11779679.08
34.4, 11785333.67
34.5, 11790600.78
34.6, 11795507.51
34.7, 11800034.67
34.8, 11804195.98
34.9, 11808020.93
35.0, 11811512.36
35.1, 11814757.08
35.2, 11817528.59
35.3, 11819904.3
35.4, 11821940.82
35.5, 11823625.89
35.6, 11824973.19
35.7, 11825959.33
35.8, 11826588.45
35.9, 11826900.28
36.0, 11826899.42
36.1, 11826592.93
36.2, 11825960.53
36.3, 11825004.7
36.4, 11823750.23
36.5, 11822227.89
36.6, 11820441.8
36.7, 11818435.21
36.8, 11816035.16
36.9, 11813292.13
37.0, 11810275.12
37.1, 11806967.62
37.2, 11803386.93
37.3, 11799498.04
37.4, 11795330.12
37.5, 11790917.82
37.6, 11786245.96
37.7, 11781312.15
37.8, 11776116.19
37.9, 11770663.13
38.0, 11764969.65
38.1, 11759061
38.2, 11752963.58
38.3, 11746679.48
38.4, 11740073.08
38.5, 11733205.42
38.6, 11726096.81
38.7, 11718756.96
38.8, 11711176.19
38.9, 11703374.63
39.0, 11695352.87
39.1, 11687111.77
39.2, 11678666.19
39.3, 11670019.18
39.4, 11661171.87
39.5, 11652121.41
39.6, 11642891.95
39.7, 11633498.04
39.8, 11623972.37
39.9, 11614304.86
40.0, 11603581.35
